category,rating,label,text_,prediction,correct,word_count,length_group
Books_5,4.0,CG,Perfect for animal lovers curious about how modern zoos really operate behind the scenes. I'd hand this to any conservation-skeptic friend.,OR,False,21,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,OR,I went for a run and felt like a flat-chested woman! It was an amazing feeling!,CG,False,16,Very Short (1-25)
Home_and_Kitchen_5,1.0,OR,You would be better off just sitting you kitchen wrap products on your pantry selves or kitchen counter.,CG,False,18,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,OR,"Non-binding, not to tight around the ankles or legs. This is very important, due to edema (water) held in feet and legs.",CG,False,22,Very Short (1-25)
Pet_Supplies_5,1.0,CG,"I feel like I literally threw $40 in the trash. Bought the three-pack because it seemed like a good deal compared to the vet stuff, but what a waste. Applied it exactly as directed, waited the full time, and my poor dog still ended up with a fat tick buried in his neck two days later. For that kind of money I expected way better protection, not a vet bill on top of it. I could've just stuck with the cheap generic drops from the grocery store and gotten the same useless results. Honestly, don't bother. If you live anywhere with an actual tick problem, this is just expensive water in a plastic tube.",OR,False,114,Long (101+)
Electronics_5,1.0,OR,The headphone arrived with left speaker broken. Left side is completely dead.,CG,False,12,Very Short (1-25)
Home_and_Kitchen_5,5.0,OR,Bought these as extra containers for my 6 Pack Fitness Renee tote. Easier to meal prep with more.,CG,False,18,Very Short (1-25)
Kindle_Store_5,5.0,CG,"This book made the whole idea of selling on Amazon feel doable instead of overwhelming. I appreciated how it broke down sourcing inventory step by step, especially the part about scanning clearance aisles with a seller app, I've already found my first profitable flip using that trick. It's not fluff; it's actionable stuff you can try the same day. Short, clear, and weirdly motivating. If you've been overthinking getting started, this is the nudge you need.",OR,False,76,Medium (51-100)
Sports_and_Outdoors_5,5.0,CG,"Bought one for my brother too, he's a diehard fan. Perfect for game days and backyard cookouts. Highly recommend for any Lions fan.",OR,False,23,Very Short (1-25)
Toys_and_Games_5,5.0,OR,My 2. 5-year-old is OBSESSED with this toy and has been using it nonstop for days. She wants to take it everywhere she goes so the handle really comes in. handy.,CG,False,31,Short (26-50)
Home_and_Kitchen_5,5.0,OR,I've burned Nippon Kodo sandalwood incense for years. I like the cedarwood every bit as much as the sandalwood.,CG,False,19,Very Short (1-25)
Movies_and_TV_5,1.0,OR,Terrible. Halfway through the plot is still unclear. The whole thing just needs help.,CG,False,14,Very Short (1-25)
Pet_Supplies_5,2.0,CG,"Paid extra for the large size but it barely covers my dog, definitely not worth the money.",OR,False,17,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,CG,"These bulbs fit perfectly under the cabinet and give off a warm, glare-free glow while cooking.",OR,False,16,Very Short (1-25)
Toys_and_Games_5,1.0,OR,Very cheap and flimsy. Not so easy for a 4 and 6 year old to get setup sturdily. Sent it back.,CG,False,21,Very Short (1-25)
Sports_and_Outdoors_5,4.0,OR,I wish they had the gripping rubber on one side,CG,False,10,Very Short (1-25)
Home_and_Kitchen_5,5.0,OR,"For my use this is just right, single live alone fixens for one.",CG,False,13,Very Short (1-25)
Toys_and_Games_5,3.0,OR,"Is good the figure,but delivered a scratch and not nice inside the box for packing?",CG,False,15,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,4.0,CG,"These are so cute and fit true to size. The shaft hits perfectly if you're on the shorter side, but taller folks might find them a bit low. I'd suggest them for petite girlies looking for an everyday staple.",OR,False,39,Short (26-50)
Tools_and_Home_Improvement_5,5.0,CG,Surprised me with how much power it has for its size.,OR,False,11,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Such a sweet gift for my dad on our wedding day, soft cotton and the message is perfect.",OR,False,18,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,4.0,OR,"As with all of the Toms I've worn in the past, these take a bit of breaking in to fit each person's feet just right. But the look is great, and I'm excited to wear them!",CG,False,36,Short (26-50)
Tools_and_Home_Improvement_5,1.0,CG,"I really wanted to like this light. Picked up the Microstream after hearing good things, and for about three months it was perfect for my pocket. Then it just stopped turning on. Changed the battery, cleaned the contacts, nothing. Contacted Streamlight and they told me wear and tear isn't covered under their so-called lifetime warranty. What's the point of a warranty that doesn't actually cover using the thing? Feels like false advertising. For a tool that's supposed to be reliable, dying this fast is unacceptable. Save your money and look elsewhere.",OR,False,91,Medium (51-100)
Pet_Supplies_5,5.0,CG,Makes water changes on my little tanks so quick and easy!,OR,False,11,Very Short (1-25)
Home_and_Kitchen_5,5.0,OR,I got these because my old brackets were bending under the weight of my curtains. These brackets are very well made and look great.,CG,False,24,Very Short (1-25)
Books_5,5.0,OR,Nothing to complain about here. I just wish it was another hundred pages! I do have a question.,CG,False,18,Very Short (1-25)
Toys_and_Games_5,1.0,OR,Only tried one egg so far. Very disappointed! The shell started cracking within a few hours. After the first day the tiger came out but could never tell what it was. Tried to let it keep sitting but just became a slimey mess. My 3yo niece lost interest because it was nothing interesting to look at other than an orange glob.,CG,False,61,Medium (51-100)
Toys_and_Games_5,5.0,CG,My eight-year-old son built this with zero help and now proudly shows it to everyone. Perfect gift for crafty kids.,OR,False,20,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,OR,Thicker than I expected but still plenty thin enough for the job. Seems decent quality for the price point.,CG,False,19,Very Short (1-25)
Home_and_Kitchen_5,5.0,OR,Very impressed. I am so happy with the details of the this pen. It will be a hit at our Anniversary.,CG,False,21,Very Short (1-25)
Toys_and_Games_5,5.0,OR,"We ordered this for my daughter's birthday party two months ago. It got to us very quickly and two months later (and a move to another house), Rainbow Dash is still floating around her room. She nearly accidentally floated away during the move 6 weeks after inflation! There are a couple of creases in the shape that are hard to picture, but they didn't detract from the fun of the balloon.",CG,False,71,Medium (51-100)
Clothing_Shoes_and_Jewelry_5,2.0,CG,Wore them once and my feet were killing me after an hour. Not the quality I expected at all.,OR,False,19,Very Short (1-25)
Toys_and_Games_5,1.0,OR,"Gigantic ripoff. What arrived was a thin brown hooded cape in a plastic bag. NOTHING ELSE. No belt, no undershirt, no boot covers. Total waste of money.",CG,False,27,Short (26-50)
Toys_and_Games_5,5.0,OR,"So many!! Looked a little cheap, but for the amount of necklaces and price I have zero complaints!",CG,False,18,Very Short (1-25)
Home_and_Kitchen_5,4.0,OR,"At first glance I thought this will never last. However, it's holding up well and the price was great.",CG,False,19,Very Short (1-25)
Books_5,5.0,CG,"This book absolutely floored me. Browning doesn't just lay out dry facts, he digs into the psychology of regular, middle-aged German men who became mass murderers almost overnight. I'd recommend it to anyone interested in WWII history, criminology, or human behavior under authoritarian regimes. It's especially relevant if you've ever wondered how ordinary people can commit atrocities when the social and peer pressures line up just right. Not a light read by any stretch, but incredibly well-researched and hauntingly relevant today. Perfect for book clubs that like hard discussions or students of moral philosophy. One of those rare histories that genuinely shifts how you see the world.",OR,False,107,Long (101+)
Clothing_Shoes_and_Jewelry_5,5.0,OR,The C/D size is a true wide with no binding or pressure to problem foot areas. The feel perfect right out of the box with no breaking in.,CG,False,28,Short (26-50)
Movies_and_TV_5,3.0,CG,"Not as funny as I expected, sadly.",OR,False,7,Very Short (1-25)
Movies_and_TV_5,5.0,CG,My kids can't get enough of this!,OR,False,7,Very Short (1-25)
Sports_and_Outdoors_5,1.0,CG,"I wanted to love this bottle because the filter idea is great and it doesn't leak at all. But the drinking experience is miserable. The flip-up straw is so narrow that you have to pull like you're trying to sip a milkshake through a coffee stirrer. I'd take a few gulps and end up lightheaded from the effort, then just give up and stay thirsty. After a couple days I noticed I was drinking way less water during hikes because it's genuinely exhausting. Also, it only fits in the larger cup holders in my car, so it rolls around on the passenger seat half the time. Ended up buying a cheap gas station bottle instead.",OR,False,115,Long (101+)
Tools_and_Home_Improvement_5,5.0,CG,"Perfect fit under my kitchen cabinets, love the adjustable brightness levels.",OR,False,11,Very Short (1-25)
Electronics_5,5.0,CG,The clip-on design is so secure I never worry about it slipping off my shirt while walking the dog after dark. Bright enough to light the whole path.,OR,False,28,Short (26-50)
Sports_and_Outdoors_5,4.0,OR,This strap seems to be made well but doesn't seem to be sturdy enough in some of the sewing details to last longer than a few months of repeated regular use.,CG,False,31,Short (26-50)
Toys_and_Games_5,3.0,OR,The quality of the board is okay. This is the set my family had when I was a kid so I went with it.,CG,False,24,Very Short (1-25)
Toys_and_Games_5,4.0,CG,"Smaller than I thought, but the kids still love it.",OR,False,10,Very Short (1-25)
Kindle_Store_5,4.0,OR,I like the story very much. It felt almost like a real life story.,CG,False,14,Very Short (1-25)
Sports_and_Outdoors_5,5.0,OR,"Good Organizer for my bunker gear, fits kind of loose but still works like it needs to.",CG,False,17,Very Short (1-25)
Home_and_Kitchen_5,5.0,OR,"I was looking for a small, oblong shaped gold laced edge doily for my kitchen table. The table seats four and this size fits perfectly. I wanted a piece much shorter than a table runner. I placed a small centerpiece on it and I got the dimensional look I was hoping to achieve. The fabric and lace looks much better than I had hoped. It is not flimsy. Haven't washed it yet, but I feel it will require a light pressing which is okay. Package arrived early and well packaged. Glad I purchased it. Exactly what I needed.",CG,False,98,Medium (51-100)
Pet_Supplies_5,5.0,OR,"they are simple, sharp, and cut nicely. happy with them.",CG,False,10,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,3.0,CG,"I wanted to love this since the color is spot-on, but the fit is wildly off. I'm usually a medium, ordered a large based on the chart, and it's still snug around the hips. Fabric is nice, just not cut for anyone with a shape.",OR,False,45,Short (26-50)
Kindle_Store_5,4.0,CG,I really liked how the journaling prompts made me stop and actually apply each idea right away.,OR,False,17,Very Short (1-25)
Pet_Supplies_5,3.0,CG,"Fluval makes solid canister filters, but the hose situation is a letdown. You get one length of tubing and have to cut it yourself to fit both intake and output. I messed up the first cut and ended up with a slightly short return line. For the price, including two pre-cut hoses would be a no-brainer. Filter runs fine otherwise, just a frustrating setup.",OR,False,64,Medium (51-100)
Tools_and_Home_Improvement_5,2.0,CG,"The alarm goes off constantly even with no gas appliances running nearby. I do like the clear digital display and easy test button, but the false alerts make me doubt its reliability. Not worth the stress.",OR,False,36,Short (26-50)
Home_and_Kitchen_5,4.0,OR,Great frame. Wish the backer was a little heavier than cardboard but for the price it is fine.,CG,False,18,Very Short (1-25)
Toys_and_Games_5,5.0,OR,A huge hit in my third grade classroom during STEM exploration time!,CG,False,12,Very Short (1-25)
Movies_and_TV_5,5.0,CG,"If you love dry British humor, your mates need to watch this ASAP.",OR,False,13,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,1.0,OR,"I could get this top on, but the fabric was stretched so much that you could see right through it.",CG,False,20,Very Short (1-25)
Toys_and_Games_5,3.0,CG,"My kids were pumped to play this because they love the classic Sorry game at their grandparents' house. This version is a whole different animal. The fire and ice tokens completely change how you move, and my seven-year-old got frustrated trying to remember which did what. We had to keep the instructions open the entire game, which slowed everything down. Once we got the hang of it, there were some fun moments, but it never felt as smooth or satisfying as the original. Not terrible, just not what we pictured when we bought it.",OR,False,94,Medium (51-100)
Pet_Supplies_5,2.0,CG,The squeaker stopped working after one day of light play.,OR,False,10,Very Short (1-25)
Sports_and_Outdoors_5,5.0,OR,I used the dead down wind combo and had 2 does pass through my hunting spot!,CG,False,16,Very Short (1-25)
Electronics_5,4.0,CG,"Works great with my older laser printer, though the connector is a bit snug to plug in at first.",OR,False,19,Very Short (1-25)
Pet_Supplies_5,3.0,CG,"Combs are okay for bigger dogs but the smaller sizes just don't match what I needed. Measurements seem a bit off, so it didn't work great for my pup.",OR,False,29,Short (26-50)
Pet_Supplies_5,4.0,OR,It keeps the water clean. It keeps the water fresh. It keeps the water oxygenated. But it doesn't keep it cold.,CG,False,21,Very Short (1-25)
Pet_Supplies_5,4.0,OR,Beautiful. But the embroidery gets snagged when she scratches. Not great for everyday wear.,CG,False,14,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,OR,"Great cheese grater rasp. Sharp, lightweight, easy to clean out. Cuts wood fast, and the blade is replaceable. I should have gotten this sooner.",CG,False,24,Very Short (1-25)
Electronics_5,5.0,CG,Perfect privacy filter for flights. I can work on sensitive stuff and the person next to me just sees a dark screen.,OR,False,22,Very Short (1-25)
Electronics_5,5.0,OR,Stable and sturdy. Just what I needed. The umbrella clamps securely and the socket swivels easily and locks nicely. I recommend it.,CG,False,22,Very Short (1-25)
Electronics_5,5.0,OR,surprised these are still around. Glad to have gotten it,CG,False,10,Very Short (1-25)
Tools_and_Home_Improvement_5,1.0,OR,Burned out within 1 month. Never even in rain.,CG,False,9,Very Short (1-25)
Pet_Supplies_5,5.0,OR,This toy exceeded my expectations. It's great to add some kibble and some smaller treats. My pup rolls it around with his notes and sometimes bats at it with his paws. It keeps him busy for several minutes. Cleaning is easy as it folds inside out.,CG,False,46,Short (26-50)
Sports_and_Outdoors_5,5.0,CG,"My school's volleyball team switched to this ball, and the grip is so reliable even during sweaty tournament games. Never slips, and the bright neon yellow is easy to track.",OR,False,30,Short (26-50)
Pet_Supplies_5,5.0,OR,"The only brand I will feed my pure breed Siberian:) He has a sensitive tummy, and I feel the Instinct with probiotics really helped him no longer have loose stools.",CG,False,30,Short (26-50)
Electronics_5,5.0,CG,Bought these for my elderly dad and he can finally hear the TV clearly without blasting the volume.,OR,False,18,Very Short (1-25)
Kindle_Store_5,4.0,CG,"Loved the emotional roller coaster and vivid characters. A few slow parts, but the journey was worth it.",OR,False,18,Very Short (1-25)
Movies_and_TV_5,1.0,CG,"Save your money unless you love awkward, guilt-ridden romance plots.",OR,False,10,Very Short (1-25)
Sports_and_Outdoors_5,1.0,OR,I wore them one time and the stitching is coming apart,CG,False,11,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Perfect for tall guys like me, finally, shorts that hit right above the knee without riding up.",OR,False,17,Very Short (1-25)
Sports_and_Outdoors_5,5.0,CG,"I actually look forward to the lasagna after a long hike, it's that good.",OR,False,14,Very Short (1-25)
Sports_and_Outdoors_5,5.0,CG,"I bike through farm country a lot and loose dogs have always been a problem, regular bells just get ignored. This little air horn changed everything. I charge it with a small hand pump before rides and it's piercing, way louder than I expected. Used it yesterday when two big dogs sprinted out from a barn; one quick blast and they stopped dead, completely confused. It's lightweight, mounts clean on my handlebars, and the trigger is easy to reach without fumbling. I'd recommend this to any cyclist, runner, or even walkers in rural or suburban areas where you might need a serious attention-getter. Absolute peace of mind.",OR,False,107,Long (101+)
Kindle_Store_5,5.0,CG,"If you love snarky demigods and women who give as good as they get, this one's for you. Perfect for fans of paranormal romance with bite, I'd hand it straight to anyone who likes their love interests powerful, mouthy, and slightly dangerous.",OR,False,42,Short (26-50)
Electronics_5,5.0,OR,"They are very cheap, work very well on my Android and Tablet, better-made than I expected. Prefer these to a sharp plastic stylus, they won't damage screen!",CG,False,27,Short (26-50)
Pet_Supplies_5,5.0,OR,Still holding up after a year with a tough chewer.,CG,False,10,Very Short (1-25)
Toys_and_Games_5,1.0,CG,Not worth it even for a doll's tea party.,OR,False,9,Very Short (1-25)
Movies_and_TV_5,5.0,CG,"A treat for anyone who loves classic cinema and big-band energy, my grandkids even got a kick out of it.",OR,False,20,Very Short (1-25)
Electronics_5,3.0,CG,"The bass is decent for movies, but the wireless subwoofer cuts out way too often. I end up having to power cycle it mid-show. Kind of a hassle for the price.",OR,False,31,Short (26-50)
Clothing_Shoes_and_Jewelry_5,5.0,OR,Much prettier than I even expected. LOVE IT. I bought it for a costume but will totally wear this with casual dresses.,CG,False,22,Very Short (1-25)
Pet_Supplies_5,1.0,CG,My dog loved the flavor but the treats are so crumbly they arrive as a bag of dust.,OR,False,18,Very Short (1-25)
Sports_and_Outdoors_5,5.0,OR,"Its an authentic Louisville Slugger what more can you ask for? Solid wood, weighted real nice.",CG,False,16,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,OR,Rips them a new one. Great blade for the price.,CG,False,10,Very Short (1-25)
Sports_and_Outdoors_5,4.0,OR,"Use this when camping. Is a good knife for the cost - sheath is a little flimsy, and I wouldn't trust my life to the survival pack - but its not bad at all.",CG,False,34,Short (26-50)
Movies_and_TV_5,4.0,OR,Classic film! My Grandmothers favorite now one of mine! Came quick and packed well!,CG,False,14,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,OR,This took my edges to a whole new level a must have!!,CG,False,12,Very Short (1-25)
Books_5,1.0,OR,This was a story that I could not even TRY to interest myself in. I made it halfway through the book before I threw in the towel. Waste of $5.,CG,False,30,Short (26-50)
Clothing_Shoes_and_Jewelry_5,3.0,OR,Fitted as expected. Not the material I expected but I will use it.,CG,False,13,Very Short (1-25)
Books_5,5.0,CG,"My four year old can't get enough of this book. The illustrations keep him glued, and he shouts out the vehicle names on every page. It's become our go-to bedtime pick, and I love hearing him giggle through the whole thing.",OR,False,41,Short (26-50)
Tools_and_Home_Improvement_5,5.0,CG,"Really happy with this hose. Installed easily without kinking and the dark finish ended up matching my outdoor spigot perfectly. Solid flow, no leaks, great buy.",OR,False,26,Short (26-50)
Toys_and_Games_5,3.0,CG,"The concept is neat with the two-sided design, but in practice it's a mixed bag for us. The colorful side is engaging and my 4-year-old assembles it without much trouble, but the black and white side just leads to tears, it's way too tricky for her age. Cardboard quality is decent and holds up okay, though the pieces are smaller than typical floor puzzles, which surprised me. I'd recommend this mainly for older preschoolers who want a challenge, or maybe families who plan to use only the colored side for now.",OR,False,91,Medium (51-100)
Toys_and_Games_5,5.0,OR,Rinsed cerakote in my 3oz paasche glass bottle easily and cleaning was a breeze on my h-set single action airbrush,CG,False,20,Very Short (1-25)
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Great fit and super comfy, definitely buying more shades soon.",OR,False,10,Very Short (1-25)
Home_and_Kitchen_5,4.0,OR,works flawlessly - quiet and 2 'just right' speeds. a must-have kitchen tool [1 example: what a breeze not having to 'process' my pea soup in messy batches - just puree whole pot instantly] dropped a star as i've seen handsomer designs - -,CG,False,44,Short (26-50)
Sports_and_Outdoors_5,2.0,CG,"Might work for patient pros, but frustrated me to no end.",OR,False,11,Very Short (1-25)
Tools_and_Home_Improvement_5,5.0,CG,"Great quality, fast shipping, everything worked perfectly right away.",OR,False,9,Very Short (1-25)
Sports_and_Outdoors_5,5.0,OR,Have this grip on a putter already and wanted another putter to have the same grip.,CG,False,16,Very Short (1-25)
